,AdaBoostClassifier,GradientBoostingClassifier,RandomForestClassifier,ExtraTreesClassifier,SupervisedDBNClassification,SVC
0,0.6120218579234973,0.5901639344262295,0.5846994535519126,0.5628415300546448,0.5081967213114754,0.5027322404371585
1,0.5409836065573771,0.5245901639344263,0.5519125683060109,0.5683060109289617,0.47540983606557374,0.47540983606557374
2,0.5792349726775956,0.5737704918032787,0.5519125683060109,0.5245901639344263,0.5300546448087432,0.4972677595628415
3,0.5409836065573771,0.5628415300546448,0.5519125683060109,0.546448087431694,0.47540983606557374,0.47540983606557374
4,0.5956284153005464,0.6284153005464481,0.5355191256830601,0.5737704918032787,0.4808743169398907,0.4808743169398907
5,0.546448087431694,0.5901639344262295,0.6120218579234973,0.546448087431694,0.48633879781420764,0.48633879781420764
6,0.5519125683060109,0.5409836065573771,0.5519125683060109,0.5573770491803278,0.5081967213114754,0.5245901639344263
7,0.5628415300546448,0.5683060109289617,0.5409836065573771,0.5683060109289617,0.5300546448087432,0.4972677595628415
8,0.5737704918032787,0.5519125683060109,0.5792349726775956,0.6010928961748634,0.5355191256830601,0.4972677595628415
9,0.5245901639344263,0.6010928961748634,0.6010928961748634,0.5628415300546448,0.41530054644808745,0.4207650273224044
10,0.6284153005464481,0.5737704918032787,0.5792349726775956,0.5737704918032787,0.5136612021857924,0.5136612021857924
11,0.5901639344262295,0.5300546448087432,0.6174863387978142,0.6229508196721312,0.45901639344262296,0.45901639344262296
12,0.6338797814207651,0.5409836065573771,0.5683060109289617,0.6010928961748634,0.5136612021857924,0.5136612021857924
13,0.5628415300546448,0.6174863387978142,0.6120218579234973,0.5628415300546448,0.46994535519125685,0.46994535519125685
14,0.546448087431694,0.5628415300546448,0.5136612021857924,0.5683060109289617,0.4808743169398907,0.4808743169398907
15,0.6065573770491803,0.6120218579234973,0.5901639344262295,0.6229508196721312,0.5300546448087432,0.5355191256830601
16,0.5792349726775956,0.6010928961748634,0.5901639344262295,0.5956284153005464,0.453551912568306,0.46994535519125685
17,0.5245901639344263,0.5519125683060109,0.5792349726775956,0.5737704918032787,0.46994535519125685,0.46994535519125685
18,0.5901639344262295,0.6010928961748634,0.644808743169399,0.6721311475409836,0.4808743169398907,0.4808743169398907
19,0.6065573770491803,0.5300546448087432,0.5136612021857924,0.5519125683060109,0.47540983606557374,0.47540983606557374
20,0.5846994535519126,0.5737704918032787,0.5956284153005464,0.6010928961748634,0.5027322404371585,0.5027322404371585
21,0.5573770491803278,0.5956284153005464,0.546448087431694,0.5737704918032787,0.5027322404371585,0.4808743169398907
22,0.4918032786885246,0.546448087431694,0.5245901639344263,0.4972677595628415,0.453551912568306,0.4808743169398907
23,0.5792349726775956,0.5300546448087432,0.5355191256830601,0.6721311475409836,0.5081967213114754,0.5081967213114754
24,0.5683060109289617,0.5792349726775956,0.5956284153005464,0.6229508196721312,0.47540983606557374,0.47540983606557374
25,0.5956284153005464,0.5956284153005464,0.5956284153005464,0.6229508196721312,0.4426229508196721,0.47540983606557374
26,0.5300546448087432,0.5519125683060109,0.5956284153005464,0.5683060109289617,0.5136612021857924,0.453551912568306
27,0.5573770491803278,0.5628415300546448,0.5519125683060109,0.6120218579234973,0.48633879781420764,0.48633879781420764
28,0.5245901639344263,0.48633879781420764,0.5245901639344263,0.5136612021857924,0.48633879781420764,0.48633879781420764
29,0.5792349726775956,0.6010928961748634,0.5409836065573771,0.5628415300546448,0.5136612021857924,0.5027322404371585
